"字詞名","注音一式","釋義"
"八佾舞","ㄅㄚ　ㄧˋ　ㄨˇ","1.周代天子用的樂舞。舞隊由縱橫各八人，共六十四人組成。
2.祭祀孔子的樂舞。佾生人數的多寡，事關受禮者的身分和地位，故有八佾、六佾、四佾的分別。八佾舞本當用於天子，因漢武帝獨尊儒術，追諡孔子為王為公，後人乃以八佾舞配祀孔子，以示尊崇。"
"八音","ㄅㄚ　ㄧㄣ","由金、石、絲、竹、匏、土、革、木八種材質製成的樂器。金包括鐘等，石包括磬等，土包括壎等，革包括鼓等，絲包括琴、瑟等，木包括柷敔（ㄓㄨˋㄩˇ）等，匏包括簧、笙等，竹包括簫、笛等。[例]我們家鄉由許多愛好音樂的人士成立了八音團，到各處演出。"
"扒","ㄅㄚ","1.剝開。[例]把橘子扒開來吃。
2.扯掉。[例]扒衣裳
3.挖、刨。[例]他在牆上扒了個洞。
4.攀住。[例]你趕緊扒住欄杆，不然會掉下去。"
"叭","ㄅㄚ","1.狀聲詞。形容汽、機車的喇叭聲。[例]後面那輛卡車忽然叭的一聲，嚇了我一跳！
2.→喇叭"
"巴","ㄅㄚ","1.期望、盼望。[例]巴望、巴不得
2.接近、貼近。[例]前不巴村，後不著店。
3.指四川東部。[例]巴蜀
4.因乾燥、溼稠凝結成塊的東西。[例]泥巴、鹽巴
5.詞綴。附屬在物體下面或後面的東西。[例]尾巴、嘴巴
6.量詞。計算大氣壓力的單位。每平方公尺受力十萬牛頓，即每平方公分受力一百達因的壓力稱為「一巴」，其千分之一稱為「毫巴」。§英bar[例]一標準大氣壓力等於1.013巴。　△巴爾
7.姓。"
"巴巴","ㄅㄚ　ㄅㄚ","1.形容黏合的樣子。[例]乾巴巴、皺巴巴
2.形容迫切盼望的樣子。[例]眼巴巴"
"巴不得","ㄅㄚ　ㄅㄨˋ　˙ㄉㄜ","迫切希望。[例]他巴不得馬上飛到她身邊。"
"巴結","ㄅㄚ　ㄐㄧㄝˊ","奉承、討好。[例]他平常喜歡巴結上司，因此在同僚之間風評不佳。"
"巴掌","ㄅㄚ　ㄓㄤˇ","手掌。[例]一個巴掌拍不響。"
"巴士","ㄅㄚ　ㄕˋ","可供人搭乘的大型汽車。§英bus[例]公共巴士、遊覽巴士　◎"
"巴望","ㄅㄚ　ㄨㄤˋ","急切的等待、期望。[例]她成天巴望著兒子學成歸來。"
"吧","ㄅㄚ","酒店。§英bar[例]吧檯、酒吧  "
"吧檯","ㄅㄚ　ㄊㄞˊ","專供調酒、煮咖啡等的櫃檯。[例]吧檯服務生"
"芭","ㄅㄚ","→芭蕉、芭樂"
"芭樂","ㄅㄚ　ㄌㄜˋ","番石榴的別名。[例]芭樂汁"
"芭蕾舞","ㄅㄚ　ㄌㄟˇ　ㄨˇ","歐洲古典舞劇的統稱。起源於十五世紀義大利宮廷，為一種典雅且帶戲劇性的舞蹈。強調足尖舞蹈技巧，並以動作表現多種感情。§英ballet[例]今晚國家劇院演出古典芭蕾舞，節目十分精彩。"
"芭蕉","ㄅㄚ　ㄐㄧㄠ","植物名。芭蕉科芭蕉屬，多年生草本。產於亞熱帶地區。葉大，長橢圓形。夏日開淡黃色花。果實亦稱為「芭蕉」，肉質肥大，氣味香甜，與熱帶所產的香蕉形似。[例]芭蕉樣子長得像香蕉，但嚐起來味道更為香甜。　△巴蕉、天芭、甘蕉"
"疤","ㄅㄚ","1.瘡口或傷口癒合後所留下的痕跡。[例]刀疤、瘡疤
2.類似傷疤的痕跡。[例]這附近路面到處坑坑疤疤，騎車很危險。"
"疤痕","ㄅㄚ　ㄏㄣˊ","傷口癒合後的痕跡。[例]上次的刀傷，使他手上留下了一道疤痕。"
"粑","ㄅㄚ","1.乾扁的食物。[例]鍋粑
2.→糌粑"
"笆","ㄅㄚ","用竹子或柳條等編成的東西。[例]籬笆"
"峇","ㄅㄚ","譯音用字。[例]峇里島"
"捌","ㄅㄚ","「八」的大寫。"
"拔","ㄅㄚˊ","1.拉起、抽出。[例]拔刀、拔草　◎    
2.吸出。[例]拔毒、拔膿    
3.除去。[例]拔禍根、拔去眼中釘    
4.選出。[例]提拔、選拔    
5.特出、出眾的。[例]拔尖、出類拔萃    
6.動搖、改變。[例]堅忍不拔、牢不可拔    
7.攻取、占領。[例]連拔五城  "
"拔得頭籌","ㄅㄚˊ　ㄉㄜˊ　ㄊㄡˊ　ㄔㄡˊ","在競爭、比賽中奪得第一。[例]這次的足球賽，由地主隊拔得頭籌。"
"拔刀相助","ㄅㄚˊ　ㄉㄠ　ㄒㄧㄤ　ㄓㄨˋ","1.出面替人打抱不平。[例]路見不平，拔刀相助。
2.出力幫助。[例]好朋友就是一旦有難，能挺身而出，拔刀相助的人。"
"拔掉","ㄅㄚˊ　ㄉㄧㄠˋ","抽除。[例]把腳上的刺拔掉。"
"拔腿","ㄅㄚˊ　ㄊㄨㄟˇ","1.邁開腳步。[例]聽得一聲令下，他拔腿便跑。
2.抽身、擺脫。[例]當他發現被捲入糾紛中，便立即拔腿，以免遭不白之冤。"
"拔腿就跑","ㄅㄚˊ　ㄊㄨㄟˇ　ㄐㄧㄡˋ　ㄆㄠˇ","邁開腳步快跑。多指落荒而逃的窘相。[例]他一看到老鼠，嚇得拔腿就跑。"
"拔河","ㄅㄚˊ　ㄏㄜˊ","一種比賽力氣大小的運動。參賽者分成兩隊，各持繩索的一端，同時用力向後拉，以能將繩上的標識拉過一定界限者為優勝。古代的拔河方式，是兩隊隔河而拔，輸方會掉到水裡。[例]拔河比賽最能展現團隊精神。"
"拔尖","ㄅㄚˊ　ㄐㄧㄢ","出眾。[例]他是這行業中拔尖的人物。"
"拔起","ㄅㄚˊ　ㄑㄧˇ","抽取出來。[例]那棵大樹被連根拔起。"
"拔取","ㄅㄚˊ　ㄑㄩˇ","選擇任用。[例]公司希望藉由這次考試拔取優秀的人才。"
"拔擢","ㄅㄚˊ　ㄓㄨㄛˊ","提拔、進用。[例]拔擢人才"
"拔除","ㄅㄚˊ　ㄔㄨˊ","拔掉、去除。[例]除惡像拔草，要連根拔除才行。"
"拔牙","ㄅㄚˊ　ㄧㄚˊ","把牙齒拔掉。[例]多數人在乳齒換恆齒的時候，都有拔牙的經驗。"
"跋","ㄅㄚˊ","1.在陸地上行走。[例]跋山涉水
2.寫於書籍、文章、字畫或碑帖等後面的文字。內容多屬評介、鑑定或考據性質。[例]這幅卷軸後面有名家親筆寫的跋，十分珍貴。"
"跋扈","ㄅㄚˊ　ㄏㄨˋ","形容人態度傲慢無禮，舉動粗暴蠻橫。[例]他為人囂張跋扈，處處得罪人。"
"跋涉","ㄅㄚˊ　ㄕㄜˋ","路途艱苦難行。[例]歷經長途跋涉，他終於回到家鄉了。"
"跋山涉水","ㄅㄚˊ　ㄕㄢ　ㄕㄜˋ　ㄕㄨㄟˇ","形容走長遠路途的艱苦。[例]他跋山涉水，歷盡艱辛，找尋失散多年的雙親。"
"鈸","ㄅㄚˊ","樂器名。一種銅製的打擊樂器。直徑約三十至三十五公分，為周邊扁平而中央凸起的圓銅片。[例]傳統音樂中鈸的樂聲，十分響亮、熱鬧。　△銅鈸　◎"
"把","ㄅㄚˇ","1.握住、拿著。[例]把酒言歡
2.控制。[例]把持、把舵
3.看守。[例]把守、把關、把門
4.抱著小孩大小便。[例]把屎、把尿
5.表示約數。[例]丈把長、個把鐘頭
6.介詞。相當於「將」：(1) 表示處理、處置的意思。[例]把門關上、把臉洗淨　(2) 表示致使、導致的意思。[例]把我急瘋了。
7.量詞：(1) 計算有柄、有把手器物的單位。[例]一把刀、兩把傘　(2) 計算成束的長條狀物品的單位。[例]一把蔥、兩把筷子、三把火把　(3) 計算手所能盈握數量的單位。[例]一把鹽、兩把花生米　(4) 計算手部動作的單位。[例]推他一把、拉你一把　(5) 計算火的單位。[例]放一把火"
"把柄","ㄅㄚˇ　ㄅㄧㄥˇ","可作為交涉或要挾的憑據。[例]他到底有什麼把柄落在對方手中，否則為何要如此言聽計從？"
"把脈","ㄅㄚˇ　ㄇㄞˋ","中醫以食、中、無名三指端按在被檢查者的橈動脈部位，探查脈象變化的診察方式。[例]中醫師透過把脈來診斷病人的健康狀況。"
"把門","ㄅㄚˇ　ㄇㄣˊ","守門。[例]這次任務，由他負責把門。"
"把風","ㄅㄚˇ　ㄈㄥ","把守並替進行祕密行動者偵察動靜。[例]他在這起竊盜案中負責把風，結果失風被捕。"
"把關","ㄅㄚˇ　ㄍㄨㄢ","1.看守、防守。[例]門口有兩名彪形大漢把關，閒雜人等不得進入。
2.比喻檢查、篩選，以求合乎既定的標準。[例]品管部門正是為品質把關而設。"
"把戲","ㄅㄚˇ　ㄒㄧˋ","1.戲法、魔術等雜技。[例]他從小就喜歡看馬戲團變把戲。
2.比喻騙人的花樣、花招或手段。[例]已經說定的事又反悔，真不知對方在玩什麼把戲！"
"把盞","ㄅㄚˇ　ㄓㄢˇ","手持酒杯。表示敬酒或喝酒。[例]他們久別重逢，相約把盞敘舊。"
"把持","ㄅㄚˇ　ㄔˊ","1.獨自掌握操縱，不許他人參與。[例]把持大權、把持朝政
2.約束、控制。[例]面對各種誘惑的時候，要能夠把持得住。"
"把式","ㄅㄚˇ　ㄕˋ","專精某一技藝的人。如善於駕車的人稱為「車把式」；善於花藝的人稱為「花把式」。[例]天橋的把式──唬人的。"
"把手","ㄅㄚˇ　ㄕㄡˇ","1.握手。[例]把手言歡
2.器物上供手握持的部位。[例]茶壺把手、車門把手"
"把守","ㄅㄚˇ　ㄕㄡˇ","看守、護衛。[例]這裡是邊防重地，有軍隊把守。"
"把握","ㄅㄚˇ　ㄨㄛˋ","1.抓住、掌握。[例]把握機會、把握人生方向
2.成功的信心。[例]這場比賽我沒有把握取勝。"
"把玩","ㄅㄚˇ　ㄨㄢˊ","玩賞、把弄。[例]他平時最喜歡把玩古董。"
"靶","ㄅㄚˇ","射擊的目標。[例]打靶、槍靶、箭靶"
"靶心","ㄅㄚˇ　ㄒㄧㄣ","標靶的中心點。[例]正中靶心"
"靶場","ㄅㄚˇ　ㄔㄤˇ","練習射擊的場所。[例]靶場上傳來一陣陣砰砰的槍聲。　△打靶場"
"靶子","ㄅㄚˇ　˙ㄗ","射擊的目標。[例]他一箭便射中靶子。"
"把","ㄅㄚˋ","1.柄，器具上供握持的部分。[例]槍把、刀把、茶壺把兒
2.花、葉或果實等的梗子。[例]花把兒、葉把兒"
"爸","ㄅㄚˋ","稱謂。子女對父親的稱呼，一般疊稱為「爸爸」。"
"爸爸","ㄅㄚˋ　˙ㄅㄚ","稱謂：對父親的稱呼。[例]爸爸教我們：跌倒了就要勇敢地爬起來。"
"伯","ㄅㄚˋ","古代稱諸侯的盟主為「伯」。通「霸」。"
"罷","ㄅㄚˋ","1.停止。[例]罷工、欲罷不能
2.免除、廢止。[例]罷免、罷官
3.終了、完畢。[例]吃罷、語罷
4.嘆詞。表示失望、忿恨等的語氣。[例]罷了！罷了！說再多都沒有用了。"
"罷免","ㄅㄚˋ　ㄇㄧㄢˇ","依法將已當選或任命的人員解除其職位。[例]那位學生會長因失言風波而被罷免了。"
"罷免權","ㄅㄚˋ　ㄇㄧㄢˇ　ㄑㄩㄢˊ","人民對於失職的民選議員或行政官員，依法以投票方式罷免其官職的權力。"
"罷了","ㄅㄚˋ　˙ㄌㄜ　","1.僅此而已。[例]只不過是停電罷了，不要緊張！
2.算了。表示失望、放棄不想再勉強的語氣。[例]罷了！罷了！再怎麼努力都是白費。"
"罷工","ㄅㄚˋ　ㄍㄨㄥ","工人為達某種特定目的，集體暫時離開工作崗位，停止工作的行為。[例]因工人罷工，使得公司遭受鉅大損失。"
"罷課","ㄅㄚˋ　ㄎㄜˋ","學生因有所訴求而集體停止上課。[例]學生若輕易罷課，受害最大的仍是自己。"
"罷休","ㄅㄚˋ　ㄒㄧㄡ","停止、休止。[例]絕不罷休、輕易罷休"
"罷黜","ㄅㄚˋ　ㄔㄨˋ","1.貶抑、排斥。[例]漢武帝接受董仲舒的建議，罷黜百家，獨尊儒術。
2.免除職務。[例]他因貪汙而遭罷黜。"
"罷駛","ㄅㄚˋ　ㄕˇ","職業司機因有所訴求而集體停止出車。[例]由於勞資雙方的協商努力，才使得這次罷駛事件得以解決。
"
"罷市","ㄅㄚˋ　ㄕˋ","商人為實現某種要求，而聯合起來停止營業。[例]由於條件談不攏，商人們決定罷市而不再與政府協商。"
"罷手","ㄅㄚˋ　ㄕㄡˇ","停止所做的事。[例]我的處事原則是不到最後關頭絕不罷手。"
"霸","ㄅㄚˋ","1.古代諸侯的首領。[例]春秋五霸
2.把持、操控。[例]獨霸一方、雄霸天下
3.在地方上為非作歹、作惡稱雄的人。[例]惡霸
4.強橫無理。[例]霸占、霸道"
"霸道","ㄅㄚˋ　ㄉㄠˋ","1.不顧仁義，而以武力、權勢、嚴刑統治的政策。[例]從歷史來看，行王道的時代，必然興盛；行霸道的時代，很快滅亡。
2.蠻橫不講理。[例]父母太過溺愛，容易養成小孩霸道的個性。"
"霸權","ㄅㄚˋ　ㄑㄩㄢˊ","強權。指強勢國家向外擴張勢力所造成的威權。[例]十七世紀海運通達，英、法、荷、西等國互相爭奪海上霸權。"
"霸占","ㄅㄚˋ　ㄓㄢˋ","強力占有。[例]許多商家霸占騎樓，造成行人諸多不便。"
"霸主","ㄅㄚˋ　ㄓㄨˇ","1.春秋時代指勢力最大，能夠號令天下的諸侯。[例]齊桓公是春秋時代第一位霸主。
2.在某一方面稱雄的人或集團。[例]美國向來是國際籃壇的霸主。"
"霸業","ㄅㄚˋ　ㄧㄝˋ","稱雄天下的事業或功業。[例]齊桓公在管仲的輔佐下終於成就了霸業。"
"霸王","ㄅㄚˋ　ㄨㄤˊ","1.霸者的尊稱。[例]西楚霸王
2.蠻橫不講理的人。[例]他是家裡的小霸王，凡事都得順他的意。"
"壩","ㄅㄚˋ","築在河上或湖口狹窄處，用以擋水並提高水位的建築物。[例]水壩、大壩"
"吧","˙ㄅㄚ","助詞：(1) 表示商量、請求等語氣。[例]教教我吧！　(2) 表示指使。[例]快走吧！　(3) 表示同意。[例]好吧！　(4) 表示推測。[例]明天該不會下雨吧！　(5) 表示感嘆。[例]算了吧！  "
"罷","˙ㄅㄚ","同「吧」。"
"波","ㄅㄛ","1.水因湧流或風力振盪所產生的起伏現象。[例]水波、波浪
2.比喻目光。[例]眼波、秋波
3.物理學上指由彈性體振動所產生像波浪一樣起落的現象。[例]音波、電波
4.跑。[例]奔波
5.量詞。計算接續情勢的單位。[例]一波又一波的攻勢。"
"波霸","ㄅㄛ　ㄅㄚˋ","1.指乳房豐滿的人。波為英語ball的音譯，借指乳房。
2.指大粉圓。[例]波霸奶茶"
"波動","ㄅㄛ　ㄉㄨㄥˋ","1.水波起伏動盪。[例]飛馳而過的快艇使得湖面波動不已。
2.動盪、不穩定。[例]物價波動、情緒波動
3.物理學上指物質某一點的振動，能漸次傳播到四周，產生週期相同的振動。如向靜止的水面投下石頭時，就會以落水點為中心，上下起伏向四方擴散開。[例]地震強度的測量，是視震源所發出震波的波動大小來判定的。"
"波濤","ㄅㄛ　ㄊㄠˊ","1.大波浪。[例]颱風來襲時，海面上波濤洶湧，猶如萬馬奔騰。
2.比喻人事的起伏變化。[例]情海起波濤"
"波濤洶湧","ㄅㄛ　ㄊㄠˊ　ㄒㄩㄥ　ㄩㄥˇ","1.形容波浪很大。[例]因颱風過境，海面上白浪掀天，波濤洶湧。
2.比喻事情發展起伏變化大。[例]整個事件的發展，波濤洶湧，令人無法掌握。"
"波瀾","ㄅㄛ　ㄌㄢˊ","1.波浪、波濤。[例]波瀾壯闊
2.比喻世事或人心的起伏變化。[例]這段美好的姻緣因雙方父母反對而起了波瀾。"
"波瀾壯闊","ㄅㄛ　ㄌㄢˊ　ㄓㄨㄤˋ　ㄎㄨㄛˋ","比喻氣勢的雄壯浩大。[例]這首曲子演奏起來的氣勢，波瀾壯闊，震懾全場。"
"波浪","ㄅㄛ　ㄌㄤˋ","江河湖海等因外力作用而在水面出現高低起伏的現象。[例]波浪滔天、波浪洶湧"
"波羅","ㄅㄛ　ㄌㄨㄛˊ","→鳳梨"
"波羅蜜","ㄅㄛ　ㄌㄨㄛˊ　ㄇㄧˋ","植物名。桑科，多年生常綠喬木。原產於印度西部。樹高二十公尺左右。葉互生，長橢圓形或倒卵形。花為單性聚合花，雌雄花序同時著生於同一植株上，夏季及冬季各開花一次。果實合生，卵狀橢圓形、紡錘形及至長圓筒形，外表呈六角形龜甲狀突起，果肉柔軟，果仁肉質白色，可食用。果實亦稱為「波羅蜜」，大者可達數十公斤，成熟者呈黃或黃褐色。"
"波光","ㄅㄛ　ㄍㄨㄤ","水波反映的光影。[例]波光粼粼"
"波光蕩漾","ㄅㄛ　ㄍㄨㄤ　ㄉㄤˋ　ㄧㄤˋ","水波光亮閃動的樣子。[例]在月夜裡，划一艘小船，波光蕩漾中輕滑過如鏡的湖面。"
"波光粼粼","ㄅㄛ　ㄍㄨㄤ　ㄌㄧㄣˊ　ㄌㄧㄣˊ","波光閃動的樣子。[例]散步在田野中，只見野花滿布，溪流中波光粼粼，真是美極了！"
"波及","ㄅㄛ　ㄐㄧˊ","水波擴散，及於四周。比喻有所影響、牽累。[例]地下爆竹工廠失火，波及到許多民宅。"
"波折","ㄅㄛ　ㄓㄜˊ","比喻事情的變化曲折。[例]經歷的波折愈多，成功的果實愈覺甘美。"
"波長","ㄅㄛ　ㄔㄤˊ","兩個連續波峰間的水平距離。也就是從波峰到波峰，或波谷到波谷的距離，可用來表示電波變化一周內的前進距離。以無線電波為例，依波長可分長波、中波、中短波、短波、超短波、微波（包含極超短波、毫米波、次毫米波）。[例]國內電視ＶＨＦ系統所用的特高頻率，波長是十公尺至一公尺，屬於超短波。"
"波紋","ㄅㄛ　ㄨㄣˊ","水面微浪形成的紋理。[例]微風掠過，湖面泛起陣陣波紋。"
"玻","ㄅㄛ","→玻璃"
"玻璃","ㄅㄛ　ㄌㄧˊ","用白砂、石灰石、碳酸鈉、碳酸鉀等混合起來，加高熱燒融，冷卻後製成的堅硬物質。有透明與半透明兩種，可以製成鏡子、窗戶等各種用具。[例]雖然他擊出了一支全壘打，但也打破了教室窗戶的玻璃。"
"玻璃纖維","ㄅㄛ　ㄌㄧˊ　ㄒㄧㄢ　ㄨㄟˊ","將玻璃熔融後，用高壓蒸氣從細孔吹出，或利用離心機吹散成極細的人造纖維。有耐熱、耐蝕、耐溼等特性。可作塑膠補強劑、電氣絕緣材料、防音材料、斷熱材料、過濾材料等用途。[例]這板子是用玻璃纖維製成的，所以從表面可以看到一絲一絲的纖維物夾在其中。"
"玻璃紙","ㄅㄛ　ㄌㄧˊ　ㄓˇ","用壓然纖維素產生化學變化而製成的透明紙。具有柔韌、無孔眼、機械強度好的優點，並可染成各種顏色。廣用於各種包裝紙。"
"玻璃絲襪","ㄅㄛ　ㄌㄧˊ　ㄙ　ㄨㄚˋ","天然或尼龍絲所織成的半透明薄襪子。"
"玻璃帷幕","ㄅㄛ　ㄌㄧˊ　ㄨㄟˊ　ㄇㄨˋ","以強化玻璃所作成的大樓外牆。[例]根據分析，玻璃帷幕大樓因為隔熱效果不佳，所以最耗費冷氣的電力。"
"菠","ㄅㄛ","→菠菜"
"菠菜","ㄅㄛ　ㄘㄞˋ","植物名。藜科，二年生草本。根部紅色，葉嫩綠，略呈三角形，有甜味，含有豐富的鐵質，可供作蔬菜食用。[例]炒菠菜時，若能打個蛋，則翠綠中帶銀白，色香味俱全。　△菠稜菜、飛龍菜　◎"
"砵","ㄅㄛ","→砵酒"
"砵酒","ㄅㄛ　ㄐㄧㄡˇ","一種原產於葡萄牙北部斗羅區的葡萄酒。一般為紅酒，味甘性醇；亦有白葡萄釀成的白酒，較不出名。因在波多城（Porto）陳釀裝瓶，故稱為「砵酒」。"
"缽","ㄅㄛ","1.出家人盛飯食的器具。[例]沿門托缽　◎
2.泛稱可用來盛酒、裝東西的圓形金屬或陶瓷用具。[例]酒缽、飯缽"
"般","ㄅㄛ","→般若"
"般若","ㄅㄛ　ㄖㄜˇ","佛教用語。指能證悟的智慧。[例]佛教認為一切般若智，都是從自性而生，不假外求。"
"剝","ㄅㄛ","1.除去物體外表的皮殼。[例]剝香蕉、剝橘子、抽絲剝繭　◎
2.強制除去。[例]剝削、剝奪
3.脫落。[例]剝落、剝蝕
4.脫去。[例]已經剝了兩件衣服，還是覺得熱。
5.六十四卦之一。坤（☷）下艮（☶）上，表示剝落的意思。[例]卦象的由剝而復，代表事情絕處逢生，有所轉機。"
"剝皮","ㄅㄛ　ㄆㄧˊ","1.剝除物體的外表。[例]小猴子吃香蕉會自己剝皮。
2.比喻宰殺。[例]可別把古董摔破了，小心被老闆剝皮！
3.壞蛋、無賴。[例]他四處騙吃騙喝，是個人見人厭的老剝皮。"
"剝奪","ㄅㄛ　ㄉㄨㄛˊ","1.強奪他人權益或財物。[例]盜用別人的發明，等於是剝奪人家的智慧財產權。
	
2.依照法律規定取消。[例]基本人權受法律保障，不可任意剝奪。
"
"剝落","ㄅㄛ　ㄌㄨㄛˋ","物體剝蝕而脫落。[例]牆柱上的油漆都已經剝落了。"
"剝削","ㄅㄛ　ㄒㄩㄝˋ","壓榨、搜刮。[例]剝削勞工"
"餑","ㄅㄛ","→餑餑"
"餑餑","ㄅㄛ　ㄅㄛ　","北平方言。指糕點或饅頭一類的食品。"
"撥","ㄅㄛ","1.橫向推開或排除。[例]撥草、撥雲見日　◎
2.用手轉動、挑動或拉動。[例]撥鐘、撥弦
3.提出部分發放。[例]本公司打算撥一筆基金給孤兒院。
4.扭轉。[例]撥亂反正
5.量詞。計算成批或分組人群的單位。[例]有一撥人馬剛打這裡經過。"
"撥發","ㄅㄛ　ㄈㄚ","提出財物發放。[例]縣政府預定從七月分開始按月撥發老人年金。"
"撥付","ㄅㄛ　ㄈㄨˋ","發給。[例]撥付獎金、如數撥付"
"撥動","ㄅㄛ　ㄉㄨㄥˋ","1.划動、轉動。[例]一隻隻小鴨吃力的撥動腳掌，急急忙忙的往前划行。
2.撩惹、挑弄。[例]撥動心弦"
"撥弄","ㄅㄛ　ㄋㄨㄥˋ","1.來回撥動。[例]她撥弄著被風吹散的頭髮。
2.挑撥。[例]撥弄是非
3.擺布、玩弄。[例]要有自己的主見，不能老聽人撥弄。"
"撥亂反正","ㄅㄛ　ㄌㄨㄢˋ　ㄈㄢˇ　ㄓㄥˋ","除去混亂局面，恢復正常的秩序。語本《公羊傳．哀公十四年》。[例]出色的政治家，就是在社會動亂的時候，能夠撥亂反正。"
